t SSPMF CATZF4 LSS BBCLP BBCK BBCLPpF
0.0500 37 1 1 287 353 274
0.0549 53 1 1 290 356 277
0.0603 74 1 1 295 361 284
0.0663 98 1 1 300 365 288
0.0728 137 1 1 307 368 294
0.0800 161 2 1 312 370 300
0.0879 189 2 1 315 373 303
0.0965 216 2 1 321 376 304
0.1061 230 4 1 321 379 305
0.1165 246 6 1 329 382 308
0.1280 261 10 1 331 384 309
0.1406 276 12 1 336 385 313
0.1544 297 14 1 341 386 315
0.1697 303 17 1 346 390 318
0.1864 316 18 3 350 392 321
0.2048 323 20 3 350 393 322
0.2249 336 22 4 352 396 324
0.2471 346 25 4 354 398 324
0.2715 354 29 6 356 399 325
0.2982 365 31 7 359 402 326
0.3276 373 35 9 361 406 329
0.3599 388 39 9 365 408 331
0.3953 395 42 11 369 410 334
0.4343 407 47 15 375 415 339
0.4771 419 55 17 378 417 342
0.5241 427 61 21 383 417 346
0.5758 437 74 24 385 418 350
0.6325 445 84 31 390 419 350
0.6948 454 94 36 393 422 352
0.7633 462 103 41 397 422 355
0.8385 469 113 50 397 425 357
0.9211 477 120 53 398 426 359
1.0119 482 128 58 403 431 363
1.1116 486 137 65 403 435 365
1.2212 490 145 71 409 438 367
1.3415 497 149 79 410 440 369
1.4737 502 158 88 411 443 375
1.6189 508 168 99 414 447 379
1.7785 520 175 100 417 450 381
1.9537 526 177 106 419 453 384
2.1463 534 187 107 423 456 386
2.3578 545 192 110 424 457 388
2.5901 555 202 114 425 459 389
2.8454 565 209 121 426 461 393
3.1258 570 216 127 428 462 395
3.4338 581 219 131 430 466 398
3.7722 582 223 133 432 471 398
4.1439 587 225 141 434 472 402
4.5523 593 227 147 436 475 406
5.0009 604 227 155 439 479 407
5.4937 620 230 161 442 480 408
6.0351 631 231 173 444 480 414
6.6298 654 235 184 450 480 417
7.2832 675 236 205 455 482 419
8.0009 692 239 222 458 483 427
8.7893 707 246 230 462 484 431
9.6555 725 251 238 468 490 434
10.6070 751 260 252 471 493 435
11.6522 771 270 277 475 495 437
12.8005 793 276 291 477 497 439
14.0619 808 280 321 478 498 441
15.4477 821 284 354 480 500 445
16.9700 839 296 386 480 503 446
18.6423 849 301 414 489 505 449
20.4794 863 307 435 492 507 454
22.4975 877 320 459 493 508 454
24.7146 893 327 471 495 511 457
27.1501 902 336 480 499 511 457
29.8256 915 349 484 500 513 457
32.7647 923 354 489 502 516 458
35.9935 929 364 495 505 519 460
39.5405 932 377 505 508 521 463
43.4370 934 392 512 509 524 464
47.7176 939 404 521 514 527 466
52.4199 943 421 525 517 529 466
57.5856 943 437 530 523 531 466
63.2604 946 454 538 525 534 468
69.4944 947 476 549 527 536 473
76.3427 948 498 554 529 537 479
83.8660 949 525 566 531 539 479
92.1305 950 547 575 532 543 479
101.2096 950 563 588 533 543 485
111.1833 950 577 602 538 545 486
122.1398 951 593 612 540 547 487
134.1761 952 602 626 541 549 489
147.3986 952 612 639 544 552 491
161.9240 953 616 666 544 552 492
177.8808 953 625 692 551 555 495
195.4101 953 633 715 555 557 497
214.6668 956 641 730 560 563 497
235.8212 956 645 740 562 565 500
259.0602 957 650 747 565 566 502
284.5894 958 656 756 570 570 505
312.6343 960 666 763 572 572 510
343.4429 960 675 772 573 577 511
377.2875 960 678 777 575 580 512
414.4674 961 689 782 582 584 513
455.3111 964 698 792 585 588 513
500.1798 966 705 799 586 592 518
549.4701 969 716 804 591 596 521
603.6178 973 732 806 601 603 523
663.1014 977 734 813 613 611 529
728.4468 979 751 815 622 627 531
800.2318 979 772 817 638 678 538
879.0907 982 789 818 646 699 542
965.7209 984 812 819 674 700 546
1060.8880 989 826 822 686 703 550
1165.4334 993 836 824 696 706 553
1280.2812 999 846 824 698 707 556
1406.4468 1002 851 827 699 707 558
1545.0453 1010 855 828 703 709 564
1697.3021 1012 860 828 706 710 571
1864.5630 1014 868 832 707 711 580
2048.3067 1017 872 835 709 713 596
2250.1574 1019 872 836 711 715 607
2471.8996 1021 877 838 713 717 626
2715.4933 1023 879 841 718 719 634
2983.0921 1028 881 843 719 721 642
3277.0614 1033 882 843 722 725 652
3600.0000 1038 885 844 726 725 659
