i arc win
1 0.00 0.00
2 0.00 0.00
3 0.00 0.00
4 0.00 0.00
5 0.00 0.00
6 0.00 0.00
7 0.00 0.00
8 0.00 0.00
9 0.00 0.00
10 0.00 0.00
11 0.00 0.00
12 0.00 0.00
13 0.00 0.00
14 0.00 0.00
15 0.00 0.00
16 0.00 0.00
17 0.00 0.00
18 0.00 0.00
19 0.00 16.67
20 0.00 25.00
21 0.00 25.00
22 0.00 25.00
23 0.00 25.00
24 0.00 25.00
25 0.00 30.00
26 0.00 33.33
27 0.00 33.33
28 0.00 33.33
29 0.00 33.33
30 0.00 33.33
31 0.00 40.00
32 0.00 40.00
33 0.00 40.00
34 0.00 40.00
35 0.00 40.00
36 0.00 40.00
37 0.00 42.86
38 0.00 42.86
39 0.00 42.86
40 0.00 44.44
41 0.00 45.45
42 0.00 45.45
43 0.00 45.45
44 0.00 50.00
45 0.00 50.00
46 0.00 50.00
47 10.00 50.00
48 14.29 50.00
49 18.18 50.00
50 25.00 50.00
51 28.57 50.00
52 30.00 50.00
53 30.00 50.00
54 30.00 50.00
55 30.00 50.00
56 33.33 50.00
57 33.33 60.00
58 45.45 60.00
59 50.00 60.00
60 54.55 66.67
61 60.00 66.67
62 60.00 66.67
