x pct n cfg
0 100.0 520 SSPMF
1 100.0 106 SSPMF
2 100.0 73 SSPMF
3 100.0 70 SSPMF
4 100.0 61 SSPMF
5 96.6 88 SSPMF
6 84.3 83 SSPMF
7 63.9 61 SSPMF
8 8.9 45 SSPMF
0 94.2 520 BBC-LP
1 31.1 106 BBC-LP
2 38.4 73 BBC-LP
3 42.9 70 BBC-LP
4 60.7 61 BBC-LP
5 34.1 88 BBC-LP
6 47.0 83 BBC-LP
7 54.1 61 BBC-LP
8 8.9 45 BBC-LP
0 71.0 520 CATZ-F4
1 76.4 106 CATZ-F4
2 93.2 73 CATZ-F4
3 87.1 70 CATZ-F4
4 90.2 61 CATZ-F4
5 75.0 88 CATZ-F4
6 86.7 83 CATZ-F4
7 96.7 61 CATZ-F4
8 100.0 45 CATZ-F4
