instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,BBC,BBC-K+F,True,True,False,MIP_optimal,15.0,15,0.002,0.0,0,1,1,0,0,0,0,,15.0,
L2-8,Laporte3,8,15,10,0.2417,BBC,BBC-K+F,True,True,False,MIP_optimal,15.0,15,0.002,0.0,0,1,1,0,0,0,0,,15.0,
L1-7,Laporte3,8,15,5,0.2833,BBC,BBC-K+F,True,True,False,MIP_optimal,19.0,19,52.844,0.0,9407,42997,2196,382,0,2005,9978,15.0,19.0,
L3-1,Laporte3,8,15,10,0.475,BBC,BBC-K+F,True,True,False,MIP_optimal,17.0,17,2020.421,0.0,36826,327378,4277,660,0,3949,83705,15.0,17.0,
L34-1,Laporte3,8,20,15,0.1688,BBC,BBC-K+F,True,True,False,MIP_optimal,20.0,20,0.002,0.0,0,1,1,0,0,0,0,,20.0,
L33-5,Laporte3,8,20,10,0.1938,BBC,BBC-K+F,True,True,False,MIP_optimal,20.0,20,0.002,0.0,0,1,1,0,0,0,0,,20.0,
L32-9,Laporte3,8,20,5,0.2062,BBC,BBC-K+F,True,True,False,MIP_optimal,21.0,21,89.131,0.0,16117,54734,4505,517,0,4246,9986,20.0,21.0,
L7-2,Laporte3,8,20,15,0.275,BBC,BBC-K+F,True,True,False,MIP_optimal,20.0,20,0.002,0.0,0,1,1,0,0,0,0,,20.0,
L5-7,Laporte3,8,20,10,0.325,BBC,BBC-K+F,True,True,False,MIP_optimal,22.0,22,2194.018,0.0,59617,260763,17972,821,0,17562,63028,20.0,22.0,
L6-8,Laporte3,8,20,10,0.35,BBC,BBC-K+F,True,True,False,MIP_optimal,23.0,23,3231.206,0.0,47661,353832,9301,830,0,8888,92987,20.0,23.0,
L6-4,Laporte3,8,20,10,0.3875,BBC,BBC-K+F,True,True,False,MIP_optimal,26.000000000000007,26,921.707,0.0,15727,178230,2389,613,0,2085,56441,20.0,26.000000000000007,
L6-1,Laporte3,8,20,10,0.4125,BBC,BBC-K+F,True,True,False,MIP_optimal,28.999999999999996,29,552.9,0.0,21380,117757,5619,649,0,5297,31412,22.999999999999996,28.999999999999996,
L10-2,Laporte3,8,20,15,0.5125,BBC,BBC-K+F,True,True,False,MIP_optimal,24.0,24,3439.924,0.0,44659,420699,5440,742,0,5076,98210,20.0,24.0,
L11-1,Laporte3,8,20,15,0.6062,BBC,BBC-K+F,True,True,False,MIP_optimal,25.0,25,548.766,0.0,16286,156350,1992,409,0,1789,39725,20.0,25.0,
L31-2,Laporte3,8,25,20,0.125,BBC,BBC-K+F,True,True,False,MIP_optimal,25.0,25,0.002,0.0,0,1,1,0,0,0,0,,25.0,
L31-7,Laporte3,8,25,20,0.155,BBC,BBC-K+F,True,True,False,MIP_optimal,25.0,25,0.002,0.0,0,1,1,0,0,0,0,,25.0,
