instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,BBC,BBC-K,True,False,False,MIP_optimal,15.0,15,0.002,0.0,0,0,1,0,0,0,0,,15.0,
L2-8,Laporte3,8,15,10,0.2417,BBC,BBC-K,True,False,False,MIP_optimal,15.0,15,0.002,0.0,0,0,1,0,0,0,0,,15.0,
L1-7,Laporte3,8,15,5,0.2833,BBC,BBC-K,True,False,False,MIP_optimal,19.0,19,4.949,0.0,11168,25073,3289,608,0,2987,0,15.0,19.0,
L3-1,Laporte3,8,15,10,0.475,BBC,BBC-K,True,False,False,MIP_optimal,17.0,17,417.874,0.0,64379,138687,30036,818,0,29623,0,15.0,17.0,
L34-1,Laporte3,8,20,15,0.1688,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.002,0.0,0,0,1,0,0,0,0,,20.0,
L33-5,Laporte3,8,20,10,0.1938,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.002,0.0,0,0,1,0,0,0,0,,20.0,
L32-9,Laporte3,8,20,5,0.2062,BBC,BBC-K,True,False,False,MIP_optimal,21.0,21,10.167,0.0,14318,33700,4379,584,0,4085,0,20.0,21.0,
L7-2,Laporte3,8,20,15,0.275,BBC,BBC-K,True,False,False,MIP_optimal,20.0,20,0.002,0.0,0,0,1,0,0,0,0,,20.0,
L5-7,Laporte3,8,20,10,0.325,BBC,BBC-K,True,False,False,MIP_optimal,22.0,22,668.025,0.0,76033,153817,38603,885,0,38159,0,20.0,22.0,
L6-8,Laporte3,8,20,10,0.35,BBC,BBC-K,True,False,False,MIP_optimal,23.0,23,587.782,0.0,72268,154489,35084,826,0,34671,0,20.0,23.0,
L6-4,Laporte3,8,20,10,0.3875,BBC,BBC-K,True,False,False,MIP_optimal,26.0,26,24.714,0.0,19758,41094,6747,630,0,6432,0,20.0,26.0,
L6-1,Laporte3,8,20,10,0.4125,BBC,BBC-K,True,False,False,MIP_optimal,29.0,29,41.702,0.0,24134,49797,9217,673,0,8881,0,23.0,29.0,
L10-2,Laporte3,8,20,15,0.5125,BBC,BBC-K,True,False,False,MIP_optimal,24.0,24,722.773,0.0,76470,160207,38503,794,0,38106,0,20.0,24.0,
L11-1,Laporte3,8,20,15,0.6062,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,27.74,0.0,20579,46885,7246,573,0,6960,0,20.0,25.0,
L31-2,Laporte3,8,25,20,0.125,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L31-7,Laporte3,8,25,20,0.155,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L30-10,Laporte3,8,25,15,0.16,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L30-8,Laporte3,8,25,15,0.165,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L19-5,Laporte3,8,25,20,0.215,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L20-2,Laporte3,8,25,20,0.27,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L12-5,Laporte3,8,25,10,0.275,BBC,BBC-K,True,False,False,MIP_optimal,31.0,31,672.695,0.0,77306,168328,38502,849,0,38077,0,25.0,31.0,
L14-2,Laporte3,8,25,15,0.29,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.024,0.0,62,149,51,40,0,28,0,25.0,25.0,
L19-3,Laporte3,8,25,20,0.3,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.002,0.0,0,0,1,0,0,0,0,,25.0,
L16-6,Laporte3,8,25,15,0.315,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.08,0.0,313,623,176,140,0,106,0,25.0,25.0,
L16-2,Laporte3,8,25,15,0.325,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.017,0.0,57,158,38,34,0,21,0,25.0,25.0,
L15-1,Laporte3,8,25,15,0.345,BBC,BBC-K,True,False,False,MIP_optimal,28.0,28,841.98,0.0,80863,157740,42132,859,0,41700,0,25.0,28.0,
L17-7,Laporte3,8,25,15,0.365,BBC,BBC-K,True,False,False,MIP_optimal,27.0,27,767.615,0.0,80062,158619,41610,800,0,41209,0,25.0,27.0,
L21-1,Laporte3,8,25,20,0.405,BBC,BBC-K,True,False,False,MIP_optimal,26.0,26,836.76,0.0,79024,156110,41590,815,0,41181,0,25.0,26.0,
L23-7,Laporte3,8,25,20,0.435,BBC,BBC-K,True,False,False,MIP_optimal,25.0,25,0.064,0.0,245,494,147,112,0,90,0,25.0,25.0,
