instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
A0-0,Catanzaro,8,5,3,0.45,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,6.0,6,326.975,0.0,19903,127238,2916,523,2655,0,24683,5.0,6.0,
L2-6,Laporte3,8,15,10,0.2417,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,15.0,15,0.003,0.0,0,1,1,0,0,0,0,,15.0,
L3-5,Laporte3,8,15,10,0.2833,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,15.0,15,0.003,0.0,0,1,1,0,0,0,0,,15.0,
L4-10,Laporte3,8,15,10,0.4667,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,18.0,18,3600.055,14.938271604938327,26203,362903,2329,640,2011,0,78803,15.0,15.311111111111101,
L4-8,Laporte3,8,15,10,0.5583,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,375.777,0.0,8809,152687,1027,422,818,0,31659,16.0,20.0,
L34-5,Laporte3,8,20,15,0.1938,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L32-8,Laporte3,8,20,5,0.2062,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,23.0,23,1119.53,0.0,43923,144505,16363,687,16023,0,26042,20.0,23.0,
L32-7,Laporte3,8,20,5,0.2188,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,24.0,24,104.454,0.0,11822,41505,3516,485,3274,0,7595,20.0,24.0,
L7-3,Laporte3,8,20,15,0.325,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L6-7,Laporte3,8,20,10,0.35,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,23.0,23,3600.054,13.043478260869565,37186,303607,7107,722,6751,0,75398,20.0,20.0,
L8-4,Laporte3,8,20,15,0.3875,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,21.0,21,2242.61,0.0,66932,191455,24422,797,24023,0,31867,20.0,21.0,
L8-2,Laporte3,8,20,15,0.4125,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,22.0,22,3077.595,0.0,73548,206865,29905,836,29488,0,33972,20.0,22.0,
L8-9,Laporte3,8,20,15,0.4813,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,21.0,21,2839.102,0.0,60471,229140,16458,837,16043,0,48335,20.0,21.0,
L11-2,Laporte3,8,20,15,0.5938,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,24.0,24,1507.21,0.0,15027,244833,711,377,528,0,47754,20.0,24.0,
L11-5,Laporte3,8,20,15,0.6687,BBC,BBC-LP+ACC,False,True,False,MIP_time_limit_feasible,31.0,31,3600.001,16.129032258064516,0,1244171,197720,8,197716,0,551557,26.0,26.0,
L31-5,Laporte3,8,25,20,0.155,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L31-6,Laporte3,8,25,20,0.16,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L31-9,Laporte3,8,25,20,0.165,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,25.0,25,0.003,0.0,0,1,1,0,0,0,0,,25.0,
L28-4,Laporte3,8,25,5,0.17,BBC,BBC-LP+ACC,False,True,False,MIP_optimal,27.0,27,950.36,0.0,54060,136341,22635,777,22247,0,14252,25.0,27.0,
