instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-5,Laporte3,8,15,10,0.2333,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,15.0,15,0.01,0.0,0,1,1,0,0,0,0,,15.0,
L1-6,Laporte3,8,15,5,0.2667,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,19.0,19,635.936,0.0,27544,141982,6364,585,6072,0,36071,15.0,19.0,
L4-1,Laporte3,8,15,10,0.45,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,17.0,17,2017.588,0.0,46826,293618,9413,821,9003,0,72084,15.0,17.0,
L4-4,Laporte3,8,15,10,0.5333,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,19.0,19,1330.858,0.0,20272,247497,1920,472,1688,0,62524,15.0,19.0,
L33-4,Laporte3,8,20,10,0.1875,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.026,0.0,0,40,7,10,3,0,0,20.0,20.0,
L33-8,Laporte3,8,20,10,0.2062,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L34-7,Laporte3,8,20,15,0.2188,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.014,0.0,0,1,1,0,0,0,0,,20.0,
L7-9,Laporte3,8,20,15,0.3,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.019,0.0,0,39,7,16,0,0,0,20.0,20.0,
L6-10,Laporte3,8,20,10,0.35,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,23.0,23,2667.775,0.0,50536,320163,10859,759,10479,0,81260,20.0,23.0,
L6-6,Laporte3,8,20,10,0.375,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,2356.636,0.0,37544,262245,8196,676,7856,0,71874,20.0,25.0,
L9-5,Laporte3,8,20,15,0.4062,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.013,0.0,0,1,1,0,0,0,0,,20.0,
L8-6,Laporte3,8,20,15,0.4625,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.999999999999996,21,1693.084,0.0,54684,217021,15962,712,15605,0,47436,20.0,20.999999999999996,
L10-10,Laporte3,8,20,15,0.55,BBC,BBC-LP+F+C,False,True,False,optimal_tolerance,24.0,24,2712.286,0.007603406326047353,20628,387528,1266,542,999,0,85092,20.0,23.99817518248175,
L11-9,Laporte3,8,20,15,0.6562,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,27.999999999999993,28,131.611,0.0,4525,81038,429,226,316,0,20430,22.092436974789916,27.999999999999993,
L28-3,Laporte3,8,25,5,0.13,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.022,0.0,0,25,6,15,0,0,0,25.0,25.0,
L28-5,Laporte3,8,25,5,0.155,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.559,0.0,162,354,116,103,66,0,47,25.0,25.0,
L28-7,Laporte3,8,25,5,0.16,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,24.0,24,1.499,0.0,436,1029,247,159,165,0,173,24.0,24.0,
L30-4,Laporte3,8,25,15,0.17,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L14-10,Laporte3,8,25,15,0.265,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.082,0.0,15,74,25,30,9,0,3,25.0,25.0,
L22-9,Laporte3,8,25,20,0.275,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.015,0.0,0,1,1,0,0,0,0,,25.0,
L12-8,Laporte3,8,25,10,0.285,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,29.0,29,3356.242,0.0,63865,321100,17500,806,17100,0,80756,25.0,29.0,
L22-4,Laporte3,8,25,20,0.295,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.016,0.0,0,1,1,0,0,0,0,,25.0,
L16-8,Laporte3,8,25,15,0.31,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.035,0.0,0,38,10,10,4,0,0,25.0,25.0,
L17-5,Laporte3,8,25,15,0.32,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,26.000000000000004,26,2000.317,0.0,76658,163390,38432,844,38012,0,19739,25.0,26.000000000000004,
L20-9,Laporte3,8,25,20,0.335,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.015,0.0,0,1,1,0,0,0,0,,25.0,
L20-10,Laporte3,8,25,20,0.365,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.022,0.0,0,36,7,16,0,0,0,25.0,25.0,
L15-4,Laporte3,8,25,15,0.4,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,29.0,29,3600.041,13.793103448275861,41362,334998,8607,762,8229,0,94698,25.0,25.0,
L17-1,Laporte3,8,25,15,0.43,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,30.999999999999996,31,3600.042,19.35483870967741,26378,389972,3007,699,2657,0,107352,25.0,25.0,
L23-1,Laporte3,8,25,20,0.47,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.999999999999996,26,2027.041,0.0,73001,179958,32393,844,31973,0,27233,25.0,25.999999999999996,
L25-8,Laporte3,8,25,20,0.495,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,26.000000000000007,26,1870.728,0.0,69868,186048,28094,872,27660,0,31395,25.0,26.000000000000007,
L21-2,Laporte3,8,25,20,0.51,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,27.0,27,2224.412,0.0,61216,238189,19459,806,19056,0,52961,25.0,27.0,
L21-8,Laporte3,8,25,20,0.545,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,28.0,28,3218.214,0.0,51986,345621,7913,759,7540,0,87013,25.0,28.0,
L26-9,Laporte3,8,25,20,0.62,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,29.999999999999993,30,3262.332,0.0,31967,429191,2697,629,2386,0,101945,25.0,29.999999999999993,
L27-6,Laporte3,8,25,20,0.705,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,32.0,32,311.998,0.0,8406,125045,1085,337,919,0,34337,26.0,32.0,
L1-7,Laporte4,9,15,5,0.237,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,17.0,17,3600.046,11.76470588235294,51537,370534,11912,1318,11261,0,101988,15.0,15.0,
L1-2,Laporte4,9,15,5,0.2667,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,18.0,18,3600.015,16.666666666666664,38307,348196,5383,872,4951,0,98007,15.0,15.0,
L4-1,Laporte4,9,15,10,0.437,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,17.000000000000004,17,3600.042,11.76470588235296,40417,409371,6639,1202,6043,0,105576,15.0,15.0,
L4-6,Laporte4,9,15,10,0.5407,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,24.999999999999996,25,3600.071,19.06493506493506,19169,321445,2188,748,1822,0,93699,18.0,20.233766233766232,
L29-10,Laporte4,9,20,15,0.1833,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.023,0.0,0,50,8,26,0,0,0,20.0,20.0,
L27-8,Laporte4,9,20,5,0.1944,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,21.0,21,3600.026,4.761904761904762,81544,362228,22839,1212,22233,0,79490,20.0,20.0,
L28-9,Laporte4,9,20,10,0.2111,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.023,0.0,0,50,8,26,0,0,0,20.0,20.0,
L7-8,Laporte4,9,20,15,0.3,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.041,0.0,5,65,11,26,2,0,2,20.0,20.0,
L9-6,Laporte4,9,20,15,0.3556,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.033,0.0,3,55,10,26,1,0,1,20.0,20.0,
L9-4,Laporte4,9,20,15,0.3778,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,0.06,0.0,6,68,16,32,4,0,3,20.0,20.0,
L9-7,Laporte4,9,20,15,0.4222,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,20.0,20,78.601,0.0,11252,31676,5053,1103,4505,0,6227,20.0,20.0,
L8-5,Laporte4,9,20,15,0.4889,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,24.999999999999993,25,3600.038,19.999999999999975,44408,377288,9479,1302,8836,0,99172,20.0,20.0,
L10-5,Laporte4,9,20,15,0.5667,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,25.999999999999996,26,3600.013,23.076923076923066,15488,521767,1156,730,798,0,103150,20.0,20.0,
L11-9,Laporte4,9,20,15,0.6444,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,28.0,28,3600.067,9.523809523809541,23348,300613,2845,622,2542,0,88848,22.0,25.33333333333333,
L33-5,Laporte4,9,25,20,0.1467,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.027,0.0,0,50,8,26,0,0,0,25.0,25.0,
L30-10,Laporte4,9,25,5,0.1511,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,36.52,0.0,7411,16986,3826,824,3420,0,2427,25.0,25.0,
L32-5,Laporte4,9,25,15,0.16,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.027,0.0,0,50,8,26,0,0,0,25.0,25.0,
L33-3,Laporte4,9,25,20,0.1689,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.027,0.0,0,50,8,26,0,0,0,25.0,25.0,
L14-3,Laporte4,9,25,15,0.2489,BBC,BBC-LP+F+C,False,True,False,MIP_optimal,25.0,25,0.055,0.0,5,62,11,26,2,0,2,25.0,25.0,
L12-2,Laporte4,9,25,10,0.2711,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,28.000000000000007,28,3600.055,10.714285714285737,49977,342367,13008,1310,12358,0,94663,25.0,25.0,
L13-7,Laporte4,9,25,10,0.2844,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,33.0,33,3600.051,24.242424242424242,26935,368475,3502,1032,2994,0,112925,25.0,25.0,
L13-6,Laporte4,9,25,10,0.3022,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,31.000000000000007,31,3600.054,19.354838709677438,27923,356150,3341,976,2856,0,108872,25.0,25.0,
L14-7,Laporte4,9,25,15,0.3156,BBC,BBC-LP+F+C,False,True,False,MIP_time_limit_feasible,25.99999999999999,26,3600.036,3.8461538461538067,94045,224106,44208,1317,43551,0,33233,25.0,25.0,
