instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L1-3,Laporte3,8,15,5,0.2,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,15.0,15,0.002,0.0,0,1,1,0,0,0,0,,15.0,
L1-8,Laporte3,8,15,5,0.25,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,16.0,16,783.487,0.0,42914,154300,14797,777,14411,0,31004,15.0,16.0,
L3-2,Laporte3,8,15,10,0.3667,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,16.0,16,1299.323,0.0,57190,209118,17156,806,16753,0,43614,15.0,16.0,
L4-3,Laporte3,8,15,10,0.475,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,18.0,18,2510.181,0.0,39028,367118,4313,656,3988,0,89885,15.0,18.0,
L33-1,Laporte3,8,20,10,0.1688,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L32-5,Laporte3,8,20,5,0.1938,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,21.0,21,920.95,0.0,55904,158400,22179,771,21796,0,24405,20.0,21.0,
L34-3,Laporte3,8,20,15,0.2125,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L5-2,Laporte3,8,20,10,0.275,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,21.0,21,1717.781,0.0,77757,178052,36454,851,36029,0,21547,20.0,21.0,
L7-10,Laporte3,8,20,15,0.3312,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,20.0,20,0.003,0.0,0,1,1,0,0,0,0,,20.0,
L6-3,Laporte3,8,20,10,0.3563,BBC,BBC-LP+F+H,False,True,False,MIP_optimal,24.0,24,3467.739,0.0,45809,367549,6952,690,6611,0,98102,20.0,24.0,
