instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
A0-0,Catanzaro,8,5,3,0.45,BBC,BBC-LP+T,False,False,True,MIP_optimal,6.0,6,46.241,0.0,29316,71822,8329,752,7956,0,0,5.0,6.0,
L2-6,Laporte3,8,15,10,0.2417,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.01,0.0,0,0,1,0,0,0,0,,15.0,
L3-5,Laporte3,8,15,10,0.2833,BBC,BBC-LP+T,False,False,True,MIP_optimal,15.0,15,0.01,0.0,0,0,1,0,0,0,0,,15.0,
L4-10,Laporte3,8,15,10,0.4667,BBC,BBC-LP+T,False,False,True,MIP_optimal,18.0,18,365.467,0.0,63690,166055,22796,871,22358,0,0,15.0,18.0,
L4-8,Laporte3,8,15,10,0.5583,BBC,BBC-LP+T,False,False,True,MIP_optimal,19.999999999999996,20,10.069,0.0,10294,26647,2922,491,2676,0,0,15.0,19.999999999999996,
L34-5,Laporte3,8,20,15,0.1938,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L32-8,Laporte3,8,20,5,0.2062,BBC,BBC-LP+T,False,False,True,MIP_optimal,23.0,23,276.041,0.0,46190,93785,20763,694,20418,0,0,20.0,23.0,
L32-7,Laporte3,8,20,5,0.2188,BBC,BBC-LP+T,False,False,True,MIP_optimal,23.999999999999993,24,15.146,0.0,12167,26069,3775,515,3518,0,0,20.0,23.999999999999993,
L7-3,Laporte3,8,20,15,0.325,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.0,20,0.045,0.0,19,77,24,24,11,0,0,20.0,20.0,
L6-7,Laporte3,8,20,10,0.35,BBC,BBC-LP+T,False,False,True,MIP_optimal,23.0,23,681.912,0.0,75409,176768,33212,754,32835,0,0,20.0,23.0,
L8-4,Laporte3,8,20,15,0.3875,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.999999999999996,21,745.481,0.0,77317,150615,32832,771,32449,0,0,20.0,20.999999999999996,
L8-2,Laporte3,8,20,15,0.4125,BBC,BBC-LP+T,False,False,True,MIP_optimal,22.000000000000007,22,989.386,0.0,80606,152576,39415,917,38958,0,0,20.0,22.000000000000007,
L8-9,Laporte3,8,20,15,0.4813,BBC,BBC-LP+T,False,False,True,MIP_optimal,20.999999999999996,21,762.964,0.0,76656,154452,31360,768,30976,0,0,20.0,20.999999999999996,
L11-2,Laporte3,8,20,15,0.5938,BBC,BBC-LP+T,False,False,True,MIP_optimal,24.000000000000004,24,154.175,0.0,43003,118253,13058,842,12635,0,0,20.0,24.000000000000004,
L11-5,Laporte3,8,20,15,0.6687,BBC,BBC-LP+T,False,False,True,MIP_optimal,31.0,31,10.051,0.0,8683,17229,2762,483,2522,0,0,26.0,31.0,
L31-5,Laporte3,8,25,20,0.155,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L31-6,Laporte3,8,25,20,0.16,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L31-9,Laporte3,8,25,20,0.165,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L28-4,Laporte3,8,25,5,0.17,BBC,BBC-LP+T,False,False,True,MIP_optimal,27.0,27,332.729,0.0,52507,111092,22997,739,22626,0,0,25.0,27.0,
L19-8,Laporte3,8,25,20,0.27,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L16-10,Laporte3,8,25,15,0.275,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.042,0.0,7,57,15,14,7,0,0,25.0,25.0,
L22-6,Laporte3,8,25,20,0.29,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L14-8,Laporte3,8,25,15,0.295,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.141,0.0,95,208,63,50,36,0,0,25.0,25.0,
L14-4,Laporte3,8,25,15,0.315,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.337,0.0,289,566,159,120,95,0,0,25.0,25.0,
L16-1,Laporte3,8,25,15,0.325,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.999999999999996,26,984.922,0.0,78478,145965,38335,846,37911,0,0,25.0,25.999999999999996,
L13-4,Laporte3,8,25,10,0.34,BBC,BBC-LP+T,False,False,True,MIP_optimal,35.0,35,8.286,0.0,7267,14731,2271,452,2046,0,0,31.0,35.0,
L15-5,Laporte3,8,25,15,0.365,BBC,BBC-LP+T,False,False,True,MIP_optimal,29.0,29,838.319,0.0,79079,179144,35101,803,34698,0,0,25.0,29.0,
L20-8,Laporte3,8,25,20,0.405,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.092,0.0,71,157,50,54,22,0,0,25.0,25.0,
L23-6,Laporte3,8,25,20,0.435,BBC,BBC-LP+T,False,False,True,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L24-8,Laporte3,8,25,20,0.485,BBC,BBC-LP+T,False,False,True,MIP_optimal,26.0,26,960.868,0.0,78028,144189,36848,859,36418,0,0,25.0,26.0,
