instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-4,Laporte3,8,15,10,0.2083,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.011,0.0,0,0,1,0,0,0,0,,15.0,
L2-3,Laporte3,8,15,10,0.2583,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.018,0.0,0,40,7,10,3,0,0,15.0,15.0,
L3-9,Laporte3,8,15,10,0.3667,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.395,0.0,431,734,260,169,174,0,0,15.0,15.0,
L4-6,Laporte3,8,15,10,0.5,BBC,BBC-LP,False,False,False,MIP_optimal,18.0,18,212.287,0.0,50546,133815,17281,821,16870,0,0,15.0,18.0,
L32-1,Laporte3,8,20,5,0.1688,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.871,0.0,806,1449,427,202,325,0,0,20.0,20.0,
L34-2,Laporte3,8,20,15,0.2,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.013,0.0,0,0,1,0,0,0,0,,20.0,
L34-6,Laporte3,8,20,15,0.2125,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L7-6,Laporte3,8,20,15,0.2812,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.021,0.0,3,40,10,16,1,0,0,20.0,20.0,
L9-8,Laporte3,8,20,15,0.3312,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.014,0.0,0,0,1,0,0,0,0,,20.0,
L9-10,Laporte3,8,20,15,0.3625,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.029,0.0,3,49,10,10,5,0,0,20.0,20.0,
L9-2,Laporte3,8,20,15,0.3937,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.11,0.0,122,243,70,72,34,0,0,20.0,20.0,
L10-4,Laporte3,8,20,15,0.4375,BBC,BBC-LP,False,False,False,MIP_optimal,21.000000000000004,21,852.028,0.0,78199,149881,35112,841,34691,0,0,20.0,21.000000000000004,
L10-6,Laporte3,8,20,15,0.525,BBC,BBC-LP,False,False,False,MIP_optimal,23.999999999999993,24,606.663,0.0,73451,195256,27894,786,27501,0,0,20.0,23.999999999999993,
L11-10,Laporte3,8,20,15,0.6188,BBC,BBC-LP,False,False,False,MIP_optimal,25.999999999999996,26,56.276,0.0,20185,41624,8055,573,7769,0,0,20.0,25.999999999999996,
L29-2,Laporte3,8,25,10,0.125,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L30-5,Laporte3,8,25,15,0.155,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.017,0.0,0,0,1,0,0,0,0,,25.0,
L29-10,Laporte3,8,25,10,0.16,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L29-8,Laporte3,8,25,10,0.165,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L14-6,Laporte3,8,25,15,0.225,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L12-10,Laporte3,8,25,10,0.27,BBC,BBC-LP,False,False,False,MIP_optimal,29.0,29,972.863,0.0,80843,175285,39276,899,38827,0,0,25.0,29.0,
L13-6,Laporte3,8,25,10,0.275,BBC,BBC-LP,False,False,False,MIP_optimal,28.0,28,1007.479,0.0,79936,161825,39963,806,39559,0,0,25.0,28.0,
L15-6,Laporte3,8,25,15,0.29,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.459,0.0,342,592,213,166,130,0,0,25.0,25.0,
L22-10,Laporte3,8,25,20,0.305,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L19-10,Laporte3,8,25,20,0.32,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L13-7,Laporte3,8,25,10,0.325,BBC,BBC-LP,False,False,False,MIP_optimal,32.0,32,66.798,0.0,22164,46130,8618,682,8276,0,0,25.0,32.0,
L23-5,Laporte3,8,25,20,0.355,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,0.016,0.0,0,0,1,0,0,0,0,,25.0,
L21-5,Laporte3,8,25,20,0.375,BBC,BBC-LP,False,False,False,MIP_optimal,25.0,25,1.529,0.0,1087,1891,606,301,452,0,0,25.0,25.0,
L17-6,Laporte3,8,25,15,0.405,BBC,BBC-LP,False,False,False,MIP_optimal,30.0,30,787.342,0.0,77790,202102,32162,771,31775,0,0,25.0,30.0,
L17-4,Laporte3,8,25,15,0.455,BBC,BBC-LP,False,False,False,MIP_optimal,32.0,32,196.932,0.0,41283,107617,15059,802,14656,0,0,25.0,32.0,
L24-7,Laporte3,8,25,20,0.49,BBC,BBC-LP,False,False,False,MIP_optimal,27.0,27,949.543,0.0,79440,155002,36779,831,36364,0,0,25.0,27.0,
L18-1,Laporte3,8,25,15,0.5,BBC,BBC-LP,False,False,False,MIP_optimal,35.0,35,49.527,0.0,17814,38100,6782,644,6456,0,0,28.0,35.0,
L26-4,Laporte3,8,25,20,0.52,BBC,BBC-LP,False,False,False,MIP_optimal,27.000000000000004,27,936.951,0.0,80009,163452,34584,847,34161,0,0,25.0,27.000000000000004,
L24-1,Laporte3,8,25,20,0.565,BBC,BBC-LP,False,False,False,MIP_optimal,27.999999999999996,28,893.979,0.0,78473,176684,34426,890,33978,0,0,25.0,27.999999999999996,
L27-5,Laporte3,8,25,20,0.68,BBC,BBC-LP,False,False,False,MIP_optimal,30.0,30,24.266,0.0,13740,33226,4563,570,4276,0,0,25.0,30.0,
L1-5,Laporte4,9,15,5,0.1926,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.686,0.0,626,1140,354,190,260,0,0,15.0,15.0,
L2-4,Laporte4,9,15,10,0.2519,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.013,0.0,0,0,2,5,0,0,0,,15.0,
L3-9,Laporte4,9,15,10,0.3481,BBC,BBC-LP,False,False,False,MIP_optimal,15.0,15,0.033,0.0,11,69,17,26,6,0,0,15.0,15.0,
L4-3,Laporte4,9,15,10,0.5111,BBC,BBC-LP,False,False,False,MIP_time_limit_feasible,19.0,19,3600.013,17.192982456140655,218945,713172,63757,1335,63091,0,0,15.0,15.733333333333276,
L28-4,Laporte4,9,20,10,0.1722,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.016,0.0,0,0,2,5,0,0,0,,20.0,
L27-3,Laporte4,9,20,5,0.1889,BBC,BBC-LP,False,False,False,MIP_time_limit_feasible,22.0,22,3600.023,9.090909090909092,153717,317554,75617,1405,74914,0,0,20.0,20.0,
L27-10,Laporte4,9,20,5,0.2,BBC,BBC-LP,False,False,False,MIP_time_limit_feasible,22.0,22,3600.009,9.090909090909092,168303,377762,73808,1382,73117,0,0,20.0,20.0,
L7-2,Laporte4,9,20,15,0.2778,BBC,BBC-LP,False,False,False,MIP_optimal,20.0,20,0.016,0.0,0,0,2,5,0,0,0,,20.0,
L5-2,Laporte4,9,20,10,0.3389,BBC,BBC-LP,False,False,False,MIP_time_limit_feasible,21.999999999999993,22,3600.037,9.090909090909062,188858,456211,67460,1449,66738,0,0,20.0,20.0,
L9-10,Laporte4,9,20,15,0.3722,BBC,BBC-LP,False,False,False,MIP_time_limit_feasible,21.0,21,3600.033,4.761904761904762,148222,279255,71666,1283,71029,0,0,20.0,20.0,
