instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-10,Laporte3,8,15,10,0.2,CATZ,CATZ-F4,,,,MIP_optimal,15.0,15,44.9094,,,,,,,,,,,
L2-8,Laporte3,8,15,10,0.2417,CATZ,CATZ-F4,,,,MIP_optimal,15.0,15,41.6592,,,,,,,,,,,
L1-7,Laporte3,8,15,5,0.2833,CATZ,CATZ-F4,,,,MIP_optimal,19.0,19,0.1209,,,,,,,,,,,
L3-1,Laporte3,8,15,10,0.475,CATZ,CATZ-F4,,,,MIP_optimal,17.0,17,0.8429,,,,,,,,,,,
L34-1,Laporte3,8,20,15,0.1688,CATZ,CATZ-F4,,,,MIP_optimal,20.0,20,73.6399,,,,,,,,,,,
L33-5,Laporte3,8,20,10,0.1938,CATZ,CATZ-F4,,,,MIP_optimal,20.0,20,73.6743,,,,,,,,,,,
L32-9,Laporte3,8,20,5,0.2062,CATZ,CATZ-F4,,,,MIP_optimal,21.0,21,0.1845,,,,,,,,,,,
L7-2,Laporte3,8,20,15,0.275,CATZ,CATZ-F4,,,,MIP_optimal,20.0,20,78.4194,,,,,,,,,,,
L5-7,Laporte3,8,20,10,0.325,CATZ,CATZ-F4,,,,MIP_optimal,22.0,22,2.3981,,,,,,,,,,,
L6-8,Laporte3,8,20,10,0.35,CATZ,CATZ-F4,,,,MIP_optimal,23.0,23,2.4622,,,,,,,,,,,
L6-4,Laporte3,8,20,10,0.3875,CATZ,CATZ-F4,,,,MIP_optimal,26.0,26,0.7205,,,,,,,,,,,
L6-1,Laporte3,8,20,10,0.4125,CATZ,CATZ-F4,,,,MIP_optimal,29.0,29,0.464,,,,,,,,,,,
L10-2,Laporte3,8,20,15,0.5125,CATZ,CATZ-F4,,,,MIP_optimal,24.0,24,8.0315,,,,,,,,,,,
L11-1,Laporte3,8,20,15,0.6062,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,0.9512,,,,,,,,,,,
L31-2,Laporte3,8,25,20,0.125,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,81.038,,,,,,,,,,,
L31-7,Laporte3,8,25,20,0.155,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,97.6591,,,,,,,,,,,
L30-10,Laporte3,8,25,15,0.16,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,93.2578,,,,,,,,,,,
L30-8,Laporte3,8,25,15,0.165,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,110.2144,,,,,,,,,,,
L19-5,Laporte3,8,25,20,0.215,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,88.5986,,,,,,,,,,,
L20-2,Laporte3,8,25,20,0.27,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,104.2616,,,,,,,,,,,
L12-5,Laporte3,8,25,10,0.275,CATZ,CATZ-F4,,,,MIP_optimal,31.0,31,1.7734,,,,,,,,,,,
L14-2,Laporte3,8,25,15,0.29,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,75.0576,,,,,,,,,,,
L19-3,Laporte3,8,25,20,0.3,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,112.9977,,,,,,,,,,,
L16-6,Laporte3,8,25,15,0.315,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,60.6302,,,,,,,,,,,
L16-2,Laporte3,8,25,15,0.325,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,60.3043,,,,,,,,,,,
L15-1,Laporte3,8,25,15,0.345,CATZ,CATZ-F4,,,,MIP_optimal,28.0,28,40.9055,,,,,,,,,,,
L17-7,Laporte3,8,25,15,0.365,CATZ,CATZ-F4,,,,MIP_optimal,27.0,27,33.1897,,,,,,,,,,,
L21-1,Laporte3,8,25,20,0.405,CATZ,CATZ-F4,,,,MIP_optimal,26.0,26,49.6852,,,,,,,,,,,
L23-7,Laporte3,8,25,20,0.435,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,83.8573,,,,,,,,,,,
L21-3,Laporte3,8,25,20,0.49,CATZ,CATZ-F4,,,,MIP_optimal,27.0,27,40.0226,,,,,,,,,,,
L25-4,Laporte3,8,25,20,0.5,CATZ,CATZ-F4,,,,MIP_optimal,25.0,25,37.0243,,,,,,,,,,,
