instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L2-2,Laporte3,8,15,10,0.2333,LSS,LSS,,,,MIP_optimal,15.0,15,10.7245,,,,,,,,,,,
L1-4,Laporte3,8,15,5,0.2667,LSS,LSS,,,,MIP_optimal,18.0,18,0.777,,,,,,,,,,,
L3-4,Laporte3,8,15,10,0.4333,LSS,LSS,,,,MIP_optimal,16.0,16,5.8893,,,,,,,,,,,
L4-5,Laporte3,8,15,10,0.525,LSS,LSS,,,,MIP_optimal,22.0,22,1.0488,,,,,,,,,,,
L34-4,Laporte3,8,20,15,0.1875,LSS,LSS,,,,MIP_optimal,20.0,20,37.9048,,,,,,,,,,,
L34-9,Laporte3,8,20,15,0.2062,LSS,LSS,,,,MIP_optimal,20.0,20,15.2702,,,,,,,,,,,
L32-6,Laporte3,8,20,5,0.2125,LSS,LSS,,,,MIP_optimal,22.0,22,0.2161,,,,,,,,,,,
L7-5,Laporte3,8,20,15,0.3,LSS,LSS,,,,MIP_optimal,20.0,20,23.9222,,,,,,,,,,,
L5-4,Laporte3,8,20,10,0.35,LSS,LSS,,,,MIP_optimal,23.0,23,8.9001,,,,,,,,,,,
L9-4,Laporte3,8,20,15,0.375,LSS,LSS,,,,MIP_optimal,20.0,20,12.7816,,,,,,,,,,,
L5-9,Laporte3,8,20,10,0.3937,LSS,LSS,,,,MIP_optimal,28.000000000000007,28,1.1994,,,,,,,,,,,
L9-7,Laporte3,8,20,15,0.4562,LSS,LSS,,,,MIP_optimal,20.0,20,8.5462,,,,,,,,,,,
L10-5,Laporte3,8,20,15,0.5437,LSS,LSS,,,,MIP_optimal,24.0,24,4.6839,,,,,,,,,,,
L11-3,Laporte3,8,20,15,0.65,LSS,LSS,,,,MIP_optimal,30.0,30,0.7574,,,,,,,,,,,
L29-3,Laporte3,8,25,10,0.13,LSS,LSS,,,,MIP_optimal,25.0,25,20.6988,,,,,,,,,,,
L28-1,Laporte3,8,25,5,0.155,LSS,LSS,,,,MIP_optimal,25.0,25,3.5094,,,,,,,,,,,
L28-6,Laporte3,8,25,5,0.16,LSS,LSS,,,,MIP_optimal,25.0,25,2.697,,,,,,,,,,,
L31-4,Laporte3,8,25,20,0.17,LSS,LSS,,,,MIP_optimal,25.0,25,18.7866,,,,,,,,,,,
L12-9,Laporte3,8,25,10,0.26,LSS,LSS,,,,MIP_optimal,29.0,29,16.2304,,,,,,,,,,,
L22-5,Laporte3,8,25,20,0.275,LSS,LSS,,,,MIP_optimal,25.0,25,17.1369,,,,,,,,,,,
L12-2,Laporte3,8,25,10,0.285,LSS,LSS,,,,MIP_optimal,29.0,29,16.309,,,,,,,,,,,
L22-3,Laporte3,8,25,20,0.295,LSS,LSS,,,,MIP_optimal,25.0,25,14.4228,,,,,,,,,,,
L16-5,Laporte3,8,25,15,0.31,LSS,LSS,,,,MIP_optimal,25.0,25,21.8975,,,,,,,,,,,
L16-9,Laporte3,8,25,15,0.32,LSS,LSS,,,,MIP_optimal,25.0,25,26.6495,,,,,,,,,,,
L20-4,Laporte3,8,25,20,0.335,LSS,LSS,,,,MIP_optimal,25.0,25,61.7736,,,,,,,,,,,
L15-9,Laporte3,8,25,15,0.36,LSS,LSS,,,,MIP_optimal,28.0,28,12.3389,,,,,,,,,,,
L15-7,Laporte3,8,25,15,0.39,LSS,LSS,,,,MIP_optimal,30.0,30,17.0538,,,,,,,,,,,
L24-6,Laporte3,8,25,20,0.42,LSS,LSS,,,,MIP_optimal,25.0,25,17.415,,,,,,,,,,,
L25-9,Laporte3,8,25,20,0.465,LSS,LSS,,,,MIP_optimal,25.0,25,12.1624,,,,,,,,,,,
L25-3,Laporte3,8,25,20,0.495,LSS,LSS,,,,MIP_optimal,26.0,26,12.5792,,,,,,,,,,,
L18-9,Laporte3,8,25,15,0.505,LSS,LSS,,,,MIP_optimal,36.0,36,0.9086,,,,,,,,,,,
L25-10,Laporte3,8,25,20,0.53,LSS,LSS,,,,MIP_optimal,27.0,27,14.5115,,,,,,,,,,,
L26-5,Laporte3,8,25,20,0.595,LSS,LSS,,,,MIP_optimal,27.0,27,6.1809,,,,,,,,,,,
L27-2,Laporte3,8,25,20,0.705,LSS,LSS,,,,MIP_optimal,35.0,35,0.4644,,,,,,,,,,,
L1-8,Laporte4,9,15,5,0.2296,LSS,LSS,,,,MIP_optimal,17.0,17,11.6827,,,,,,,,,,,
L2-7,Laporte4,9,15,10,0.2667,LSS,LSS,,,,MIP_optimal,15.0,15,179.2626,,,,,,,,,,,
L3-6,Laporte4,9,15,10,0.4222,LSS,LSS,,,,MIP_optimal,18.0,18,17.0242,,,,,,,,,,,
L3-8,Laporte4,9,15,10,0.5407,LSS,LSS,,,,MIP_optimal,24.0,24,2.3897,,,,,,,,,,,
L29-9,Laporte4,9,20,15,0.1778,LSS,LSS,,,,MIP_optimal,20.0,20,123.7571,,,,,,,,,,,
L29-6,Laporte4,9,20,15,0.1944,LSS,LSS,,,,MIP_optimal,20.0,20,153.7138,,,,,,,,,,,
L28-6,Laporte4,9,20,10,0.2111,LSS,LSS,,,,MIP_optimal,20.0,20,162.2935,,,,,,,,,,,
L5-10,Laporte4,9,20,10,0.2944,LSS,LSS,,,,MIP_optimal,22.0,22,42.7767,,,,,,,,,,,
L6-8,Laporte4,9,20,10,0.35,LSS,LSS,,,,MIP_optimal,24.0,24,22.3182,,,,,,,,,,,
L7-6,Laporte4,9,20,15,0.3778,LSS,LSS,,,,MIP_optimal,20.0,20,137.7408,,,,,,,,,,,
L8-3,Laporte4,9,20,15,0.4167,LSS,LSS,,,,MIP_optimal,22.0,22,52.452,,,,,,,,,,,
L8-2,Laporte4,9,20,15,0.4722,LSS,LSS,,,,MIP_optimal,23.0,23,37.0649,,,,,,,,,,,
L8-8,Laporte4,9,20,15,0.5611,LSS,LSS,,,,MIP_optimal,24.0,24,11.4285,,,,,,,,,,,
L11-8,Laporte4,9,20,15,0.6333,LSS,LSS,,,,MIP_optimal,29.0,29,1.2958,,,,,,,,,,,
L33-4,Laporte4,9,25,20,0.1467,LSS,LSS,,,,MIP_optimal,25.0,25,161.5197,,,,,,,,,,,
L32-6,Laporte4,9,25,15,0.1511,LSS,LSS,,,,MIP_optimal,25.0,25,169.3248,,,,,,,,,,,
L30-7,Laporte4,9,25,5,0.1556,LSS,LSS,,,,MIP_optimal,26.0,26,6.3008,,,,,,,,,,,
L31-4,Laporte4,9,25,10,0.1644,LSS,LSS,,,,MIP_optimal,25.0,25,188.5866,,,,,,,,,,,
L12-9,Laporte4,9,25,10,0.2444,LSS,LSS,,,,MIP_optimal,27.0,27,60.327,,,,,,,,,,,
