instance,benchmark_set,J,T,C,density,solver,config,comb_cuts,frac_cuts,triplet_bounds,status,obj,obj_ktns,time_s,gap_pct,nodes,lp_iters,cb_invocations,cuts_sec,cuts_benders,cuts_comb,cuts_frac,root_lp_bound,dual_bound,notes
L1-5,Laporte3,8,15,5,0.2333,SSPMF,SSPMF,,,,MIP_optimal,11.0,16,0.4432,,,,,,,,,,,
L1-1,Laporte3,8,15,5,0.275,SSPMF,SSPMF,,,,MIP_optimal,13.0,18,5.6504,,,,,,,,,,,
L3-7,Laporte3,8,15,10,0.4667,SSPMF,SSPMF,,,,MIP_optimal,9.0,19,6.4885,,,,,,,,,,,
L4-9,Laporte3,8,15,10,0.5333,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,6.9029,,,,,,,,,,,
L32-4,Laporte3,8,20,5,0.1875,SSPMF,SSPMF,,,,MIP_optimal,15.0,20,0.3883,,,,,,,,,,,
L33-9,Laporte3,8,20,10,0.2062,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.1181,,,,,,,,,,,
L33-7,Laporte3,8,20,10,0.2188,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.1513,,,,,,,,,,,
L7-1,Laporte3,8,20,15,0.3063,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.0926,,,,,,,,,,,
L6-2,Laporte3,8,20,10,0.35,SSPMF,SSPMF,,,,MIP_optimal,14.0,24,8.1821,,,,,,,,,,,
L7-4,Laporte3,8,20,15,0.3875,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.0903,,,,,,,,,,,
L8-10,Laporte3,8,20,15,0.4125,SSPMF,SSPMF,,,,MIP_optimal,6.0,21,2.3543,,,,,,,,,,,
L10-8,Laporte3,8,20,15,0.4688,SSPMF,SSPMF,,,,MIP_optimal,7.0,22,7.4361,,,,,,,,,,,
L10-9,Laporte3,8,20,15,0.5687,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,2.035,,,,,,,,,,,
L11-8,Laporte3,8,20,15,0.6625,SSPMF,SSPMF,,,,MIP_optimal,15.0,30,5.6467,,,,,,,,,,,
L31-1,Laporte3,8,25,20,0.155,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.056,,,,,,,,,,,
L31-10,Laporte3,8,25,20,0.16,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0487,,,,,,,,,,,
L31-8,Laporte3,8,25,20,0.165,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0461,,,,,,,,,,,
L29-4,Laporte3,8,25,10,0.17,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,0.1138,,,,,,,,,,,
L19-2,Laporte3,8,25,20,0.27,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.072,,,,,,,,,,,
L14-1,Laporte3,8,25,15,0.275,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.1027,,,,,,,,,,,
L13-9,Laporte3,8,25,10,0.285,SSPMF,SSPMF,,,,MIP_optimal,20.0,30,11.4929,,,,,,,,,,,
L14-5,Laporte3,8,25,15,0.295,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.171,,,,,,,,,,,
L22-2,Laporte3,8,25,20,0.315,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0808,,,,,,,,,,,
L13-3,Laporte3,8,25,10,0.32,SSPMF,SSPMF,,,,MIP_optimal,21.0,31,9.391,,,,,,,,,,,
L17-2,Laporte3,8,25,15,0.335,SSPMF,SSPMF,,,,MIP_optimal,11.0,26,1.4623,,,,,,,,,,,
L23-10,Laporte3,8,25,20,0.365,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0722,,,,,,,,,,,
L17-10,Laporte3,8,25,15,0.4,SSPMF,SSPMF,,,,MIP_optimal,14.0,29,14.0415,,,,,,,,,,,
L20-7,Laporte3,8,25,20,0.435,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1986,,,,,,,,,,,
L24-2,Laporte3,8,25,20,0.485,SSPMF,SSPMF,,,,MIP_optimal,7.0,27,7.6211,,,,,,,,,,,
L18-10,Laporte3,8,25,15,0.495,SSPMF,SSPMF,,,,MIP_optimal,18.0,33,11.7516,,,,,,,,,,,
L18-4,Laporte3,8,25,15,0.51,SSPMF,SSPMF,,,,MIP_optimal,21.0,36,13.951,,,,,,,,,,,
L26-1,Laporte3,8,25,20,0.55,SSPMF,SSPMF,,,,MIP_optimal,9.0,29,13.2092,,,,,,,,,,,
L26-10,Laporte3,8,25,20,0.63,SSPMF,SSPMF,,,,MIP_optimal,11.0,31,11.499,,,,,,,,,,,
L27-1,Laporte3,8,25,20,0.715,SSPMF,SSPMF,,,,MIP_optimal,15.0,35,6.2332,,,,,,,,,,,
L1-9,Laporte4,9,15,5,0.237,SSPMF,SSPMF,,,,MIP_optimal,11.0,16,1.2213,,,,,,,,,,,
L1-3,Laporte4,9,15,5,0.2667,SSPMF,SSPMF,,,,MIP_optimal,13.0,18,9.0308,,,,,,,,,,,
L3-7,Laporte4,9,15,10,0.4593,SSPMF,SSPMF,,,,MIP_optimal,8.0,18,5.3645,,,,,,,,,,,
L4-2,Laporte4,9,15,10,0.5481,SSPMF,SSPMF,,,,MIP_optimal,11.0,21,9.2487,,,,,,,,,,,
L28-10,Laporte4,9,20,10,0.1833,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.0719,,,,,,,,,,,
L28-2,Laporte4,9,20,10,0.2,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.1188,,,,,,,,,,,
L28-5,Laporte4,9,20,10,0.2167,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.1758,,,,,,,,,,,
L7-7,Laporte4,9,20,15,0.3111,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.1,,,,,,,,,,,
L6-7,Laporte4,9,20,10,0.3556,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,26.4755,,,,,,,,,,,
L5-7,Laporte4,9,20,10,0.3778,SSPMF,SSPMF,,,,MIP_optimal,18.0,28,18.1656,,,,,,,,,,,
L9-8,Laporte4,9,20,15,0.4222,SSPMF,SSPMF,,,,MIP_optimal,6.0,21,4.8968,,,,,,,,,,,
L8-6,Laporte4,9,20,15,0.4944,SSPMF,SSPMF,,,,MIP_optimal,9.0,24,12.6467,,,,,,,,,,,
L10-7,Laporte4,9,20,15,0.5778,SSPMF,SSPMF,,,,MIP_optimal,13.0,28,22.1639,,,,,,,,,,,
L11-2,Laporte4,9,20,15,0.6556,SSPMF,SSPMF,,,,MIP_optimal,14.0,29,3.2237,,,,,,,,,,,
L33-7,Laporte4,9,25,20,0.1467,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0545,,,,,,,,,,,
L30-2,Laporte4,9,25,5,0.1511,SSPMF,SSPMF,,,,MIP_optimal,20.0,25,0.7281,,,,,,,,,,,
L31-1,Laporte4,9,25,10,0.16,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,0.0786,,,,,,,,,,,
L32-1,Laporte4,9,25,15,0.1689,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.0804,,,,,,,,,,,
L14-10,Laporte4,9,25,15,0.2578,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.2216,,,,,,,,,,,
L20-6,Laporte4,9,25,20,0.2756,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1136,,,,,,,,,,,
L21-10,Laporte4,9,25,20,0.2889,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.0896,,,,,,,,,,,
L21-9,Laporte4,9,25,20,0.3067,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.111,,,,,,,,,,,
L13-4,Laporte4,9,25,10,0.3156,SSPMF,SSPMF,,,,MIP_optimal,26.0,36,71.2698,,,,,,,,,,,
L15-6,Laporte4,9,25,15,0.3289,SSPMF,SSPMF,,,,MIP_optimal,12.0,27,11.8423,,,,,,,,,,,
L19-6,Laporte4,9,25,20,0.3689,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.1398,,,,,,,,,,,
L22-8,Laporte4,9,25,20,0.3867,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,0.4759,,,,,,,,,,,
L23-10,Laporte4,9,25,20,0.4133,SSPMF,SSPMF,,,,MIP_optimal,7.0,27,6.1173,,,,,,,,,,,
L24-5,Laporte4,9,25,20,0.4667,SSPMF,SSPMF,,,,MIP_optimal,6.0,26,22.9351,,,,,,,,,,,
L23-1,Laporte4,9,25,20,0.4889,SSPMF,SSPMF,,,,MIP_optimal,9.0,29,15.8539,,,,,,,,,,,
L24-10,Laporte4,9,25,20,0.5156,SSPMF,SSPMF,,,,MIP_optimal,8.0,28,34.959,,,,,,,,,,,
L23-8,Laporte4,9,25,20,0.5778,SSPMF,SSPMF,,,,MIP_optimal,10.0,30,12.7298,,,,,,,,,,,
L26-4,Laporte4,9,25,20,0.6711,SSPMF,SSPMF,,,,MIP_optimal,12.0,32,11.3681,,,,,,,,,,,
L25-6,Laporte4,9,25,20,0.7111,SSPMF,SSPMF,,,,MIP_optimal,17.0,37,22.6413,,,,,,,,,,,
A2-2,Catanzaro,10,10,5,0.26,SSPMF,SSPMF,,,,MIP_optimal,5.0,10,0.0587,,,,,,,,,,,
A2-8,Catanzaro,10,10,5,0.27,SSPMF,SSPMF,,,,MIP_optimal,5.0,10,0.2341,,,,,,,,,,,
L1-2,Laporte7,10,10,4,0.28,SSPMF,SSPMF,,,,MIP_optimal,9.0,13,8.7794,,,,,,,,,,,
A1-4,Catanzaro,10,10,4,0.29,SSPMF,SSPMF,,,,MIP_optimal,9.0,13,7.5546,,,,,,,,,,,
L1-3,Laporte7,10,10,4,0.3,SSPMF,SSPMF,,,,MIP_optimal,8.0,12,6.2185,,,,,,,,,,,
A4-1,Catanzaro,10,10,7,0.32,SSPMF,SSPMF,,,,MIP_optimal,3.0,10,0.049,,,,,,,,,,,
A1-5C,Catanzaro,10,10,5,0.32,SSPMF,SSPMF,,,,MIP_optimal,6.0,11,0.3929,,,,,,,,,,,
L2-2,Laporte7,10,10,5,0.33,SSPMF,SSPMF,,,,MIP_optimal,7.0,12,11.9421,,,,,,,,,,,
L2-10,Laporte7,10,10,5,0.35,SSPMF,SSPMF,,,,MIP_optimal,6.0,11,1.6367,,,,,,,,,,,
L2-5,Laporte5,15,15,10,0.2311,SSPMF,SSPMF,,,,MIP_optimal,5.0,15,0.3151,,,,,,,,,,,
L1-5,Laporte5,15,15,5,0.2622,SSPMF,SSPMF,,,,MIP_time_limit_feasible,18.0,23,3602.5301,,,,,,,,,,,
L4-1,Laporte5,15,15,10,0.4622,SSPMF,SSPMF,,,,MIP_time_limit_feasible,10.0,20,3603.1967,,,,,,,,,,,
L4-9,Laporte5,15,15,10,0.5467,SSPMF,SSPMF,,,,MIP_time_limit_feasible,17.0,27,3600.0102,,,,,,,,,,,
B4-9,Catanzaro,15,19,12,0.2105,SSPMF,SSPMF,,,,MIP_optimal,7.0,19,0.3773,,,,,,,,,,,
B3-3,Catanzaro,15,19,10,0.2351,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,1445.5785,,,,,,,,,,,
L7-7,Laporte7,15,20,10,0.1633,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.839,,,,,,,,,,,
L9-1,Laporte5,15,20,15,0.1767,SSPMF,SSPMF,,,,MIP_optimal,5.0,20,0.1251,,,,,,,,,,,
L6-5,Laporte5,15,20,10,0.18,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,2.6065,,,,,,,,,,,
L7-10,Laporte7,15,20,10,0.1867,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.3504,,,,,,,,,,,
L5-5,Laporte7,15,20,6,0.19,SSPMF,SSPMF,,,,MIP_time_limit_feasible,18.0,24,3600.0075,,,,,,,,,,,
L7-5,Laporte7,15,20,10,0.2,SSPMF,SSPMF,,,,MIP_optimal,10.0,20,0.7261,,,,,,,,,,,
B4-10,Catanzaro,15,20,12,0.2167,SSPMF,SSPMF,,,,MIP_optimal,8.0,20,5.0242,,,,,,,,,,,
L8-9,Laporte7,15,20,12,0.2233,SSPMF,SSPMF,,,,MIP_time_limit_feasible,9.0,21,3600.0083,,,,,,,,,,,
B1-2,Catanzaro,15,20,6,0.24,SSPMF,SSPMF,,,,MIP_time_limit_feasible,27.0,33,3603.4692,,,,,,,,,,,
L7-1,Laporte5,15,20,10,0.31,SSPMF,SSPMF,,,,MIP_optimal,20.0,30,3221.3405,,,,,,,,,,,
L12-5,Laporte5,15,20,15,0.3533,SSPMF,SSPMF,,,,MIP_optimal,6.0,21,458.5459,,,,,,,,,,,
L12-9,Laporte5,15,20,15,0.3767,SSPMF,SSPMF,,,,MIP_time_limit_feasible,7.0,22,3603.1114,,,,,,,,,,,
L13-3,Laporte5,15,20,15,0.4033,SSPMF,SSPMF,,,,MIP_optimal,8.0,23,3532.8142,,,,,,,,,,,
L13-6,Laporte5,15,20,15,0.49,SSPMF,SSPMF,,,,MIP_optimal,13.0,28,1001.0871,,,,,,,,,,,
L11-8,Laporte5,15,20,15,0.55,SSPMF,SSPMF,,,,MIP_time_limit_feasible,14.0,29,3602.7523,,,,,,,,,,,
L14-8,Laporte5,15,20,15,0.65,SSPMF,SSPMF,,,,MIP_time_limit_feasible,25.0,40,3603.0012,,,,,,,,,,,
L19-1,Laporte5,15,25,15,0.1387,SSPMF,SSPMF,,,,MIP_optimal,10.0,25,0.3312,,,,,,,,,,,
L16-5,Laporte5,15,25,10,0.1467,SSPMF,SSPMF,,,,MIP_optimal,15.0,25,1.8307,,,,,,,,,,,
L15-3,Laporte5,15,25,5,0.1547,SSPMF,SSPMF,,,,MIP_time_limit_feasible,25.0,30,3601.0445,,,,,,,,,,,
L15-9,Laporte5,15,25,5,0.1653,SSPMF,SSPMF,,,,MIP_time_limit_feasible,31.0,36,3601.4735,,,,,,,,,,,
L20-5,Laporte5,15,25,15,0.232,SSPMF,SSPMF,,,,MIP_time_limit_feasible,11.0,26,3600.0068,,,,,,,,,,,
L17-10,Laporte5,15,25,10,0.2533,SSPMF,SSPMF,,,,MIP_time_limit_feasible,28.0,38,3603.6388,,,,,,,,,,,
L20-3,Laporte5,15,25,15,0.272,SSPMF,SSPMF,,,,MIP_time_limit_feasible,13.0,28,3602.7764,,,,,,,,,,,
L22-6,Laporte5,15,25,15,0.2907,SSPMF,SSPMF,,,,MIP_time_limit_feasible,13.0,28,3602.8099,,,,,,,,,,,
L21-3,Laporte5,15,25,15,0.3013,SSPMF,SSPMF,,,,MIP_optimal,13.0,28,1010.0923,,,,,,,,,,,
L29-3,Laporte5,15,25,20,0.3147,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,66.4668,,,,,,,,,,,
L21-6,Laporte5,15,25,15,0.3387,SSPMF,SSPMF,,,,MIP_optimal,18.0,33,1502.8715,,,,,,,,,,,
L27-2,Laporte5,15,25,20,0.3573,SSPMF,SSPMF,,,,MIP_optimal,5.0,25,6.4511,,,,,,,,,,,
L27-7,Laporte5,15,25,20,0.392,SSPMF,SSPMF,,,,MIP_time_limit_feasible,8.0,28,3600.0138,,,,,,,,,,,
L21-2,Laporte5,15,25,15,0.4107,SSPMF,SSPMF,,,,MIP_time_limit_feasible,26.0,41,3603.1357,,,,,,,,,,,
L30-1,Laporte5,15,25,20,0.4507,SSPMF,SSPMF,,,,MIP_time_limit_feasible,10.0,30,3604.3718,,,,,,,,,,,
L24-1,Laporte5,15,25,15,0.488,SSPMF,SSPMF,,,,MIP_time_limit_feasible,35.0,50,3603.5046,,,,,,,,,,,
L24-8,Laporte5,15,25,15,0.4987,SSPMF,SSPMF,,,,MIP_time_limit_feasible,38.0,53,3605.2515,,,,,,,,,,,
L33-3,Laporte5,15,25,20,0.5493,SSPMF,SSPMF,,,,MIP_time_limit_feasible,13.0,33,3603.4829,,,,,,,,,,,
L33-5,Laporte5,15,25,20,0.6587,SSPMF,SSPMF,,,,MIP_time_limit_feasible,19.0,39,3603.7021,,,,,,,,,,,
L34-7,Laporte5,15,25,20,0.7093,SSPMF,SSPMF,,,,MIP_time_limit_feasible,26.0,46,3603.6834,,,,,,,,,,,
C4-8,Catanzaro,30,40,25,0.2358,SSPMF,SSPMF,,,,MIP_time_limit_feasible,32.0,57,3600.9334,,,,,,,,,,,
C2-7,Catanzaro,30,40,17,0.2425,SSPMF,SSPMF,,,,MIP_time_limit_feasible,87.0,104,3600.0133,,,,,,,,,,,
C4-1,Catanzaro,30,40,25,0.2525,SSPMF,SSPMF,,,,MIP_time_limit_feasible,37.0,62,3600.7559,,,,,,,,,,,
C2-2,Catanzaro,30,40,17,0.2583,SSPMF,SSPMF,,,,MIP_time_limit_feasible,97.0,114,3600.3042,,,,,,,,,,,
D4-5,Catanzaro,40,60,30,0.2146,SSPMF,SSPMF,,,,MIP_time_limit_feasible,119.0,148,3600.0226,,,,,,,,,,,
D2-7,Catanzaro,40,60,22,0.2233,SSPMF,SSPMF,,,,MIP_time_limit_feasible,189.0,207,3600.0238,,,,,,,,,,,
D4-9,Catanzaro,40,60,30,0.2283,SSPMF,SSPMF,,,,MIP_time_limit_feasible,121.0,148,3600.0203,,,,,,,,,,,
D2-6,Catanzaro,40,60,22,0.2367,SSPMF,SSPMF,,,,MIP_time_limit_feasible,226.0,246,3600.0227,,,,,,,,,,,
s1n009,Crama,10,10,4,0.27,SSPMF,SSPMF,,,,MIP_optimal,8.0,12,3.7787,,,,,,,,,,,
s2n009,Crama,15,20,6,0.19,SSPMF,SSPMF,,,,MIP_optimal,19.0,22,1939.008,,,,,,,,,,,
s3n009,Crama,30,40,15,0.2442,SSPMF,SSPMF,,,,MIP_time_limit_feasible,102.0,117,3600.0133,,,,,,,,,,,
s4n009,Crama,40,60,20,0.2125,SSPMF,SSPMF,,,,MIP_time_limit_feasible,209.0,229,3600.0275,,,,,,,,,,,
s1n009,Crama,10,10,5,0.27,SSPMF,SSPMF,,,,MIP_optimal,6.0,11,1.3772,,,,,,,,,,,
s2n009,Crama,15,20,8,0.19,SSPMF,SSPMF,,,,MIP_optimal,13.0,18,247.7836,,,,,,,,,,,
s3n009,Crama,30,40,17,0.2442,SSPMF,SSPMF,,,,MIP_time_limit_feasible,92.0,109,3600.3562,,,,,,,,,,,
s4n009,Crama,40,60,22,0.2125,SSPMF,SSPMF,,,,MIP_time_limit_feasible,190.0,212,3600.088,,,,,,,,,,,
s1n009,Crama,10,10,6,0.27,SSPMF,SSPMF,,,,MIP_optimal,4.0,10,0.0619,,,,,,,,,,,
s2n009,Crama,15,20,10,0.19,SSPMF,SSPMF,,,,MIP_optimal,10.0,17,2.7152,,,,,,,,,,,
s3n009,Crama,30,40,20,0.2442,SSPMF,SSPMF,,,,MIP_time_limit_feasible,59.0,79,3600.5306,,,,,,,,,,,
