instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp,optimal,5.0,15,68.86,0.0,376,2355,5.0,
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp+HP,optimal,5.0,15,19.42,0.0,185,1404,5.0,
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp+MC,optimal,5.0,15,4.61,0.0,59,478,5.0,
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp+WS,optimal,5.0,15,15.66,0.0,59,802,5.0,
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp+STAB,time_limit,7.0,15,600.4,,491,2831,5.0,
L2-8,Laporte3,8,15,10,0.2417,PCFp,PCFp+ACC,optimal,5.0,15,49.43,0.0,52,717,4.999999999999999,
L2-8,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp,time_limit,6.0,16,600.23,,3331,8830,4.999999999999999,
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp+HP,time_limit,6.0,16,600.32,,4320,10246,5.0,
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp+MC,time_limit,8.0,18,600.23,,3721,11881,4.999999999999999,
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp+WS,time_limit,6.999999999999999,17,600.21,,3495,8825,5.0,
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp+STAB,time_limit,7.0,17,600.34,,485,3451,4.999999999999999,
L3-4,Laporte3,8,15,10,0.4333,PCFp,PCFp+ACC,time_limit,8.96,16,600.2,,547,5503,4.999999999999998,
L3-4,Laporte3,,,,,PTF,PTF,time_limit,,,660.1,,,,,OS timeout
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp,optimal,15.0,20,236.27,0.0,269,1797,15.0,
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp+HP,optimal,15.0,20,128.09,0.0,273,1848,15.0,
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp+MC,optimal,15.0,20,192.42,0.0,358,3421,15.0,
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp+WS,time_limit,16.0,21,600.61,,827,3572,15.0,
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp+STAB,time_limit,18.0,21,603.82,,119,863,15.0,
L32-1,Laporte3,8,20,5,0.1688,PCFp,PCFp+ACC,time_limit,17.0,21,602.78,,131,1650,15.0,
L32-1,Laporte3,8,20,5,0.1688,PTF,PTF,time_limit,18.0,23,600.89,,29,4148,15.000000000000004,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp,time_limit,11.0,20,600.4,,687,5890,10.0,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp+HP,time_limit,12.0,20,600.21,,529,7838,10.0,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp+MC,time_limit,11.0,20,600.24,,674,5828,10.0,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp+WS,time_limit,11.0,20,601.49,,464,4636,10.0,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp+STAB,optimal,10.0,20,29.62,0.0,41,405,10.0,
L33-9,Laporte3,8,20,10,0.2062,PCFp,PCFp+ACC,time_limit,14.0,20,602.21,,277,4626,10.0,
