instance,benchmark_set,J,T,C,density,solver,config,status,obj,obj_ktns,time_s,gap_pct,nodes,ncols,root_lp_bound,notes
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp,time_limit,64.0,68,1838.99,,111,1855,15.000000000000005,
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp+HP,time_limit,132.0,78,1800.22,,72,3179,14.999999999999968,
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp+MC,time_limit,64.0,68,1839.15,,111,1855,15.000000000000005,
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp+WS,time_limit,63.0,69,1813.29,,106,1487,15.000000000000005,
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp+STAB,time_limit,64.0,68,1800.29,,140,1481,15.000000000000005,
s3n010,Crama,30,40,25,0.2358,PCFp,PCFp+ACC,time_limit,63.0,69,1806.19,,59,1414,15.000000000000005,
s3n010,Crama,30,40,25,0.2358,PTF,PTF,time_limit,52.0,77,1841.09,,1,1993,,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp,time_limit,104.0,92,1808.34,,211,1316,20.000000000000007,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp+HP,time_limit,178.0,111,1800.71,,5,4918,19.999999999999957,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp+MC,time_limit,104.0,92,1805.38,,211,1316,20.000000000000007,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp+WS,time_limit,,,1818.01,,90,1572,20.00000000000002,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp+STAB,time_limit,115.0,97,1828.08,,145,1033,20.00000000000001,
C3-7,Catanzaro,30,40,20,0.2425,PCFp,PCFp+ACC,time_limit,,,1800.31,,51,1410,20.00000000000002,
C3-7,Catanzaro,30,40,20,0.2425,PTF,PTF,time_limit,92.0,107,1808.29,,1,2025,,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp,time_limit,142.0,92,1800.45,,85,1973,20.000000000000004,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp+HP,time_limit,159.0,104,1800.54,,5,8296,20.000000000000004,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp+MC,time_limit,142.0,92,1800.49,,85,1973,20.000000000000004,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp+WS,time_limit,212.0,99,1820.3,,163,1411,20.00000000000001,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp+STAB,time_limit,145.0,97,1800.19,,72,1089,20.000000000000004,
C3-4,Catanzaro,30,40,20,0.2517,PCFp,PCFp+ACC,time_limit,160.0,96,1801.51,,114,1108,20.00000000000001,
C3-4,Catanzaro,30,40,20,0.2517,PTF,PTF,time_limit,84.0,103,1817.75,,1,2143,,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp,time_limit,62.0,69,1800.48,,157,1803,15.000000000000002,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp+HP,time_limit,154.0,78,1800.24,,52,3663,15.000000000000012,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp+MC,time_limit,62.0,69,1800.51,,157,1803,15.000000000000002,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp+WS,time_limit,98.0,73,1803.75,,49,1817,15.000000000000004,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp+STAB,time_limit,62.0,69,1805.33,,145,1643,15.000000000000002,
s3n001,Crama,30,40,25,0.2583,PCFp,PCFp+ACC,time_limit,,,1808.76,,27,2192,15.000000000000004,
s3n001,Crama,30,40,25,0.2583,PTF,PTF,time_limit,56.0,79,1800.9,,1,2138,,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp,time_limit,140.0,107,1808.68,,117,1200,19.999999999999996,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp+HP,time_limit,198.0,120,1800.63,,3,11383,19.999999999999986,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp+MC,time_limit,140.0,107,1808.68,,117,1200,19.999999999999996,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp+WS,time_limit,202.0,103,1806.35,,44,995,20.000000000000007,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp+STAB,time_limit,143.0,112,1802.71,,128,859,19.999999999999996,
s3n008,Crama,30,40,20,0.2808,PCFp,PCFp+ACC,time_limit,148.0,111,1800.47,,73,1076,20.000000000000007,
s3n008,Crama,30,40,20,0.2808,PTF,PTF,time_limit,104.0,121,1849.43,,1,1854,,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp,time_limit,356.0,207,1822.36,,1,440,,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp+HP,time_limit,356.0,207,1800.93,,1,20759,,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp+MC,time_limit,356.0,207,1828.45,,1,440,,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp+WS,time_limit,270.0,191,1811.44,,20,880,35.0,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp+STAB,time_limit,356.0,207,1850.18,,1,440,,
s4n009,Crama,40,60,25,0.2125,PCFp,PCFp+ACC,time_limit,270.0,191,1800.52,,26,840,35.0,
s4n009,Crama,,,,,PTF,PTF,time_limit,,,1860.1,,,,,OS timeout
