instance,n,T,b,q,Zstar,gap,root_plain,root_window,rise,frac_of_gap,windows,wrows,wvars,t_plain,t_window
L1-1,8,15,5,10,13,3,10.0,10.0,0.0,0.0,15,660,225,0.37,0.68
L10-1,8,20,15,5,9,4,5.0,5.0,0.0,0.0,15,875,300,1.45,2.15
L11-1,8,20,15,5,10,5,5.0,5.0,0.0,0.0,15,875,300,1.88,2.33
L11-2,8,20,15,5,9,4,5.0,5.0,0.0,0.0,15,875,300,1.71,2.25
L11-3,8,20,15,5,15,10,5.0,5.0,0.0,0.0,15,875,300,1.91,3.05
L11-4,8,20,15,5,10,5,5.0,5.0,0.0,0.0,15,875,300,1.91,2.48
L11-5,8,20,15,5,16,11,5.0,5.0,0.0,0.0,15,875,300,2.96,5.62
L11-6,8,20,15,5,12,7,5.0,5.0,0.0,0.0,15,875,300,1.85,2.55
L11-7,8,20,15,5,13,8,5.0,5.0,-0.0,-0.0,15,875,300,2.16,2.99
L12-1,8,25,10,15,19,4,15.0,15.0,0.0,0.0,15,1090,375,1.09,1.34
L12-2,8,25,10,15,19,4,15.0,15.0,-0.0,-0.0,15,1090,375,1.51,2.71
L12-3,8,25,10,15,17,2,15.0,15.0,0.0,0.0,15,1090,375,0.43,1.23
L12-4,8,25,10,15,16,1,15.0,15.0,0.0,0.0,15,1090,375,0.43,1.15
L12-5,8,25,10,15,21,6,15.0,15.0,0.0,0.0,15,1090,375,1.56,2.93
L13-1,8,25,10,15,19,4,15.0,15.0,0.0,0.0,15,1090,375,1.61,2.1
L13-2,8,25,10,15,24,9,15.0,15.0,-0.0,-0.0,15,1090,375,4.43,4.93
L13-3,8,25,10,15,21,6,15.0,15.0,0.0,0.0,15,1090,375,2.78,2.22
L13-4,8,25,10,15,25,10,15.0,15.0,0.0,0.0,15,1090,375,5.46,6.14
L13-5,8,25,10,15,21,6,15.0,15.0,0.0,0.0,15,1090,375,3.83,4.46
L15-1,8,25,15,10,13,3,10.0,10.0,-0.0,-0.0,15,1090,375,2.68,3.21
L15-2,8,25,15,10,11,1,10.0,10.0,0.0,0.0,15,1090,375,0.53,1.3
L15-4,8,25,15,10,14,4,10.0,10.0,0.0,0.0,15,1090,375,4.66,6.09
L15-5,8,25,15,10,14,4,10.0,10.0,0.0,0.0,15,1090,375,0.84,1.3
L16-1,8,25,15,10,11,1,10.0,10.0,0.0,0.0,15,1090,375,2.62,2.09
L17-1,8,25,15,10,16,6,10.0,10.0,-0.0,-0.0,15,1090,375,13.25,10.36
L17-2,8,25,15,10,11,1,10.0,10.0,0.0,0.0,15,1090,375,0.82,1.86
L17-3,8,25,15,10,13,3,10.0,10.0,-0.0,-0.0,15,1090,375,5.31,5.67
L17-4,8,25,15,10,17,7,10.0,10.0,0.0,0.0,15,1090,375,12.52,8.66
L17-5,8,25,15,10,11,1,10.0,10.0,0.0,0.0,15,1090,375,0.36,2.18
L18-1,8,25,15,10,20,10,10.0,10.0,-0.0,-0.0,15,1090,375,24.47,28.65
L18-2,8,25,15,10,21,11,10.0,10.0,0.0,0.0,15,1090,375,39.86,40.45
L18-3,8,25,15,10,20,10,10.0,10.0,-0.0,-0.0,15,1090,375,23.15,24.77
L18-4,8,25,15,10,21,11,,,,,15,1090,375,45.93,45.26
L18-5,8,25,15,10,20,10,10.0,10.0,0.0,0.0,15,1090,375,36.56,30.85
L21-1,8,25,20,5,6,1,5.0,5.0,0.0,0.0,15,1090,375,0.41,1.68
L23-1,8,25,20,5,6,1,5.0,5.0,0.0,0.0,15,1090,375,6.85,6.54
L24-1,8,25,20,5,8,3,5.0,5.0,0.0,0.0,15,1090,375,5.91,6.49
L24-2,8,25,20,5,7,2,5.0,5.0,0.0,0.0,15,1090,375,5.27,5.58
